cheese,url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
Caprotto,https://www.cheese.com/caprotto/,goat,Italy,Campania,Cheddar,"hard, artisan",39.90%,727.1 mg/100g,compact,natural,straw,"sharp, spicy","floral, strong",FALSE,FALSE,,,Casa Madaio
Carabiner,https://www.cheese.com/carabiner/,cow,United States,California,Cheddar,"semi-hard, artisan",38.60%,705.2 mg/100g,"dense, firm",natural,yellow,"nutty, salty, sweet",earthy,TRUE,FALSE,,,Weirauch Farm and Creamery
Carlow,https://www.cheese.com/carlow/,cow,Ireland,County Carlow,Cheddar,"semi-hard, artisan",36.80%,749.2 mg/100g,"firm, smooth",waxed,golden yellow,"mild, savory, spicy",,,,,,Elizabeth Bradley @ Carlow Cheese
Carnia Altobut,https://www.cheese.com/carnia-altobut/,cow,Italy,Carnia,Cheddar,"hard, artisan",36.10%,725.5 mg/100g,"compact, elastic, firm, open",natural,pale yellow,"pronounced, strong, subtle","aromatic, floral",FALSE,FALSE,,,La Casearia Carpenedo S.r.l.
Carrick,https://www.cheese.com/carrick/,cow,Scotland,,Cheddar,"hard, organic",38.40%,727.2 mg/100g,creamy,edible,cream,citrusy,earthy,TRUE,FALSE,,,The Ethical Dairy
Carrot Rebel,https://www.cheese.com/carrot-rebel/,cow,Austria,Sulzberg,Cheddar,"semi-hard, artisan",37.60%,754.7 mg/100g,creamy,natural,orange,"creamy, fruity, nutty, sweet","aromatic, fruity, sweet",,,Rüblirebell,,Sulzberger Käserebellen Sennerei GmbH
Castelo Branco,https://www.cheese.com/castelo-branco/,"goat, sheep",Portugal,"Castelo Branco, Fundão and Idanha-a-Nova",Cheddar,"semi-soft, artisan",35.40%,768.1 mg/100g,"brittle, creamy, crumbly, firm, smooth",natural,pale yellow,"sour, spicy, tangy",aromatic,TRUE,FALSE,,Queijo de Castelo Branco,
Castigliano,https://www.cheese.com/castigliano/,"cow, goat, sheep",Spain,Castile-Leon,Cheddar,hard,38.30%,778.2 mg/100g,firm,natural,yellow,"acidic, salty, spicy",rich,FALSE,FALSE,,Queso Castellano,
Cave Rebel,https://www.cheese.com/cave-rebel/,cow,Austria,Sulzberg,Cheddar,"hard, artisan",36.30%,763.4 mg/100g,"compact, crumbly, firm, open",natural,pale yellow,"creamy, grassy","aromatic, nutty",,,Höhlenrebell,,Sulzberger Käserebellen Sennerei GmbH
Cello Thick & Smooth Mascarpone,https://www.cheese.com/cello-thick-smooth-mascarpone/,cow,United States,,Cheddar,"fresh soft, processed",35.30%,701.8 mg/100g,"buttery, creamy, firm, smooth",rindless,white,"creamy, milky, sweet","fresh, milky",,,,,Schuman Cheese
Celtic Promise,https://www.cheese.com/celtic-promise/,cow,United Kingdom,Ceredigion,Cheddar,"semi-soft, artisan",35.60%,705.8 mg/100g,creamy,washed,yellow,full-flavored,pungent,TRUE,FALSE,,,Teifi Farmhouse Cheese
Cerney Pyramid,https://www.cheese.com/cerney-pyramid/,goat,"England, Great Britain, United Kingdom",Cotswolds,Cheddar,"fresh soft, artisan",36.70%,797.7 mg/100g,creamy,natural,white,"citrusy, lemony, mild, sweet",,TRUE,FALSE,,,
Chabichou du Poitou,https://www.cheese.com/chabichou-du-poitou/,goat,France,,Cheddar,"semi-soft, artisan",39.80%,778.6 mg/100g,creamy,,white,"salty, sweet, tangy",goaty,,,"Chabichou du Poitou AOP, Chabichou du Poitou AOC",,
Chabis de Gatine,https://www.cheese.com/chabis-de-gatine/,goat,France,Poitou-Charentes,Cheddar,"soft, artisan",39.10%,781.5 mg/100g,"firm, smooth",natural,white,"salty, sharp",goaty,FALSE,FALSE,,,
Challerhocker,https://www.cheese.com/challerhocker/,cow,Switzerland,"St. Gallen (canton), Tufertschwil",Cheddar,hard,39.80%,782.4 mg/100g,"creamy, dense, smooth",washed,pale yellow,"caramel, nutty, salty, sweet","nutty, sweet",,,,,Käserei Tufertschwil
Checkerboard Cheddar,https://www.cheese.com/checkerboard-cheddar/,cow,United States,NY,Cheddar,"semi-hard, artisan",35.40%,774.9 mg/100g,crumbly,natural,pale yellow,"sharp, sweet, tangy",pleasant,,,,,Muranda Cheese Company
Cheddar,https://www.cheese.com/cheddar/,cow,England,,Cheddar,hard,39.10%,724.0 mg/100g,compact,,pale yellow,"creamy, sharp",,,,,,
Cheddar LaDiDa Lavender,https://www.cheese.com/cheddar-ladida-lavender/,cow,United States,Oregon,Cheddar,"semi-hard, artisan",36.00%,762.4 mg/100g,"creamy, smooth",natural,white,"herbaceous, savory, subtle",earthy,TRUE,FALSE,,La Di Da Lavender,Rogue Creamery
Cheddar with Irish Porter,https://www.cheese.com/cheddar-with-irish-porter/,cow,Ireland,Kilmallock County Limerick,Cheddar,"semi-hard, artisan",38.90%,736.7 mg/100g,smooth,,pale yellow,"fruity, tangy","pungent, rich",,,Irish Porter,,
Cheddar with Red Wine,https://www.cheese.com/cheddar-with-red-wine/,cow,Ireland,Kilmallock County Limerick,Cheddar,"semi-hard, artisan",39.40%,706.1 mg/100g,firm,,pale yellow,"fruity, tangy","fruity, rich",TRUE,FALSE,Red Wine Cheddar,,J.O.D. Foods
Cheese Curds,https://www.cheese.com/cheese-curds/,,"Canada, India, United States",,Cheddar,fresh firm,35.90%,709.2 mg/100g,"firm, springy",natural,white,"mild, milky",fresh,,,"Squeaky Cheese, cheeseballs, paneer, Boivin Cheddar Curds",,
Cheshire,https://www.cheese.com/cheshire/,cow,United Kingdom,,Cheddar,hard,38.00%,741.3 mg/100g,"crumbly, dense",cloth wrapped,orange,earthy,"grassy, spicy",,,Appleby's Cheshire,,Appleby's
Chevre Log,https://www.cheese.com/chevre-log/,goat,United States,California,Cheddar,fresh soft,37.80%,705.4 mg/100g,"creamy, crumbly, smooth, spreadable",rindless,white,"citrusy, creamy","fresh, mild",TRUE,FALSE,,,"Cypress Grove Chevre, Goat Lady Dairy"
Childwickbury,https://www.cheese.com/childwickbury/,goat,"England, Great Britain, United Kingdom","Odell, Bedfordshire",Cheddar,"fresh soft, artisan",38.60%,797.4 mg/100g,"creamy, smooth",natural,white,"citrusy, lemony, mild, milky","floral, fresh, mild, milky",TRUE,FALSE,,,Childwickbury Estate
Chilli Caciotta,https://www.cheese.com/chile-caciotta/,"cow, sheep",Italy,,Cheddar,"semi-soft, artisan",39.60%,765.7 mg/100g,"creamy, smooth",,,spicy,,,,"Caciotta Ancho Chile, Caciotta Mexican Marigold Mint, Caciotta Basil, Chile Caciotta",,
Chocolate Lab,https://www.cheese.com/chocolate-lab/,cow,United States,Fairview,Cheddar,"hard, artisan",39.20%,755.0 mg/100g,firm,washed,pale yellow,"pungent, sharp, sweet",rich,,,,,Looking Glass Creamery
Chocolate Stout Cheddar,https://www.cheese.com/chocolate-stout-cheddar/,cow,United States,Oregon,Cheddar,"semi-hard, artisan",36.30%,726.8 mg/100g,firm,natural,pale yellow,"savory, sweet, tangy",buttery,TRUE,FALSE,,,Rogue Creamery
Chèvre,https://www.cheese.com/chevre/,goat,France,,Cheddar,,38.70%,752.8 mg/100g,,,white,tangy,goaty,,,"Goat cheese, Chevre, Chèvre",,
Chèvre des neiges,https://www.cheese.com/chevre-des-neiges/,"cow, goat",Canada,Quebec,Cheddar,fresh soft,35.70%,747.4 mg/100g,"soft, spreadable, supple",rindless,white,"fruity, mild, nutty","aromatic, fresh, fruity",,,,"Chèvre des neiges coconut, Chèvre des neiges fig & orange",La Maison Alexis de Portneuf Inc.
Coalho,https://www.cheese.com/coalho/,cow,Brazil,Northeastern Brazil,Cheddar,semi-hard,35.70%,722.2 mg/100g,"elastic, firm, springy",natural,yellow,"acidic, salty",fresh,FALSE,FALSE,"Queijo coalho, Queijo de coalho , Rennet Cheese",,
Coastal Cheddar,https://www.cheese.com/coastal-cheddar/,cow,England,Dorset,Cheddar,firm,37.00%,706.0 mg/100g,,rindless,pale yellow,"crunchy, sweet",nutty,,,,,Ford Farm
Colby,https://www.cheese.com/colby/,cow,United States,"Colby, Wisconsin",Cheddar,semi-hard,35.70%,729.4 mg/100g,"firm, open, springy",rindless,yellow,sweet,"mild, sweet",FALSE,FALSE,,Colby Swiss Cheddar,
Colony cheese,https://www.cheese.com/colony-cheese/,,Brazil,Rio Grande do Sul,Cheddar,"semi-hard, artisan",37.60%,772.2 mg/100g,"creamy, open, soft, supple",natural,pale yellow,"creamy, pungent, spicy","lactic, pungent, spicy",,,"queijo de colônia, Queijo colônia, queijo colonial",,
Comte 12 months,https://www.cheese.com/comte-12-months/,cow,France,,Cheddar,semi-hard,37.50%,705.3 mg/100g,buttery,washed,yellow,milky,nutty,FALSE,FALSE,Comté Grande Réserve 12-18 months,,JuraFlore
Comte 18 months,https://www.cheese.com/comte-18-months/,cow,France,,Cheddar,hard,35.00%,715.9 mg/100g,firm,natural,yellow,fruity,nutty,FALSE,FALSE,Comté Grande Réserve 18-24 months,,JuraFlore
Conciato Al Pepe,https://www.cheese.com/conciato-al-pepe/,cow,Italy,Veneto,Cheddar,hard,38.70%,720.1 mg/100g,"compact, crumbly",natural,pale yellow,"sharp, spicy",aromatic,FALSE,FALSE,,,La Casearia Carpenedo S.r.l.
Connemara,https://www.cheese.com/connemara/,cow,United States,Fairview,Cheddar,"semi-hard, artisan",39.60%,727.9 mg/100g,"creamy, firm",natural,white,"fruity, mild","fruity, goaty, rich",,,,,Looking Glass Creamery
Coolattin Cheddar,https://www.cheese.com/coolattin-cheddar/,cow,Ireland,Co. Carlow,Cheddar,"hard, artisan",36.40%,728.1 mg/100g,"crumbly, open",waxed,pale yellow,"fruity, nutty, sweet",,FALSE,FALSE,,,Thomas and Fiona Burgess - Coolattin Cheddar
Cornish Blue,https://www.cheese.com/cornish-blue/,cow,England,Cornwall,Cheddar,"semi-soft, artisan",39.70%,721.0 mg/100g,"buttery, dense",,,"creamy, mild, sweet","buttery, mild, sweet",TRUE,FALSE,,,Cornish Cheese Company Ltd
Cornish Crumbly,https://www.cheese.com/cornish-crumbly/,cow,England,North Cornwall,Cheddar,"semi-soft, artisan",35.40%,788.0 mg/100g,chalky,mold ripened,ivory,creamy,rich,TRUE,FALSE,,,Whalesborough Farm Foods
Cornish Kern,https://www.cheese.com/cornish-kern/,,,Cornwall,Cheddar,,38.00%,761.5 mg/100g,,washed,,,,TRUE,FALSE,,,Lynher Dairies
Cornish Smuggler,https://www.cheese.com/cornish-smuggler/,cow,England,North Cornwall,Cheddar,"semi-soft, artisan",39.20%,732.5 mg/100g,creamy,mold ripened,ivory,creamy,rich,TRUE,FALSE,,,Whalesborough Farm Foods
Cornish Wild Garlic Yarg,https://www.cheese.com/cornish-wild-garlic-yarg/,cow,England,,Cheddar,"semi-firm, artisan",38.50%,768.5 mg/100g,crumbly,leaf wrapped,pale yellow,garlicky,"garlicky, herbal",TRUE,FALSE,Cornish Garlic Yarg,,Lynher Dairies
Cotherstone,https://www.cheese.com/cotherstone/,cow,"England, United Kingdom",Cotherstone,Cheddar,"semi-hard, artisan",38.00%,720.3 mg/100g,"crumbly, open",waxed,pale yellow,"acidic, citrusy, tangy",fresh,,,,,
Cougar Gold,https://www.cheese.com/cougar-gold/,cow,United States,"Pullman, Washington",Cheddar,semi-soft,35.40%,763.0 mg/100g,"creamy, crumbly, crystalline, firm, smooth",rindless,white,"nutty, sharp",,FALSE,FALSE,,,WSU Creamery
Country Morning,https://www.cheese.com/country-morning/,cow,Canada,British Columbia,Cheddar,"hard, artisan",35.70%,773.7 mg/100g,"creamy, crumbly",natural,pale yellow,"nutty, sharp",strong,FALSE,FALSE,,,The Farm House Natural Cheeses
Coverdale,https://www.cheese.com/coverdale/,cow,"England, United Kingdom",North Yorkshire,Cheddar,"hard, artisan",39.10%,783.7 mg/100g,"creamy, firm, open",natural,white,"buttery, lemony, mild, sharp",,TRUE,FALSE,,,Wensleydale Creamery
Cracked Pepper Chevre,https://www.cheese.com/cracked-pepper-chevre/,goat,United States,Colorado,Cheddar,"semi-soft, artisan",37.60%,713.6 mg/100g,"creamy, crumbly, firm",rindless,white,"savory, spicy","clean, fresh",TRUE,FALSE,,,Haystack Mountain Creamery
Cream Cheese,https://www.cheese.com/cream-cheese/,cow,United States,,Cheddar,"fresh soft, processed",35.30%,780.0 mg/100g,"creamy, spreadable",rindless,white,"creamy, mild, sweet","fresh, pleasant",TRUE,FALSE,fruit cream,Fruit cream cheese,
Creamy Lancashire,https://www.cheese.com/creamy-lancashire/,cow,England,,Cheddar,,37.50%,773.5 mg/100g,fluffy,,pale yellow,creamy,,,,,,
Criollo Cheese,https://www.cheese.com/criollo-cheese/,cow,Mexico,Taxco,Cheddar,semi-firm,38.10%,763.1 mg/100g,smooth,,pale yellow,"savory, sharp",strong,FALSE,FALSE,Criolla,,
Crowley,https://www.cheese.com/crowley/,cow,United States,Vermont,Cheddar,"semi-soft, hard, artisan",35.90%,776.3 mg/100g,"creamy, crumbly, firm, smooth",cloth wrapped,pale yellow,"buttery, full-flavored, mild, savory, smokey , spicy, sweet, tangy","aromatic, fresh, mild, pleasant, smokey",FALSE,FALSE,,,Crowley Cheese
Crucolo,https://www.cheese.com/crucolo/,cow,Italy,,Cheddar,"semi-hard, artisan",38.30%,741.7 mg/100g,buttery,,ivory,"savory, sweet","mild, rich",,,,,Rifugio Crucolo
Crumbly Lancashire,https://www.cheese.com/crumbly-lancashire/,cow,England,,Cheddar,hard,36.30%,700.7 mg/100g,crumbly,,pale yellow,acidic,,,,,,
Cypress Grove Chevre,https://www.cheese.com/cypress-grove-chevre/,goat,United States,California,Cheddar,,38.00%,767.5 mg/100g,,,,,,,,,,Cypress Grove Chevre
L'Amuse Brabander Goat Gouda,https://www.cheese.com/lamuse-brabander-goat-gouda/,cow,Netherlands,Northern Holland,Cheddar,hard,39.00%,702.9 mg/100g,smooth,waxed,brownish yellow,"caramel, salty","buttery, nutty",,,,,Essex St. Cheese Co.
La Couronne - Fort Aged Comté,https://www.cheese.com/la-couronne-fort-aged-comte/,cow,"France, Switzerland",Franche Comté,Cheddar,semi-hard,38.60%,728.4 mg/100g,dense,,pale yellow,"caramel, nutty, sweet",rich,,,,,Cheese Slices
LaClare Farms Chandoka,https://www.cheese.com/laclare-farms-chandoka/,"cow, goat",United States,,Cheddar,"semi-firm, artisan",38.20%,758.2 mg/100g,creamy,,ivory,"fruity, tangy",fruity,TRUE,FALSE,,,LaClare Farms
LaClare Farms Cheddar,https://www.cheese.com/laclare-farms-cheddar/,goat,United States,Wisconsin,Cheddar,"semi-soft, artisan",39.00%,799.6 mg/100g,creamy,,ivory,"mild, sweet, tangy","fruity, sweet",TRUE,FALSE,,,LaClare Farms
LaClare Farms Raw Goats Milk Cheddar,https://www.cheese.com/laclare-farms-raw-goats-milk-cheddar/,goat,United States,Wisconsin,Cheddar,"semi-soft, artisan",37.20%,734.4 mg/100g,creamy,,ivory,"mild, sweet, tangy","fruity, sweet",TRUE,FALSE,,,LaClare Farms
Laguiole,https://www.cheese.com/laguiole/,cow,France,"Aveyron, Laguiole",Cheddar,"semi-hard, artisan",35.80%,762.7 mg/100g,"creamy, firm, supple",natural,straw,"sharp, sour, tangy",aromatic,FALSE,FALSE,,Tome de Laguiole,
Lairobell,https://www.cheese.com/lairobell/,goat,"Scotland, United Kingdom",Orkney Isles,Cheddar,"hard, artisan",40.00%,749.0 mg/100g,"crumbly, open",natural,pale yellow,"herbaceous, sweet",goaty,TRUE,FALSE,,,
Lajta,https://www.cheese.com/lajta/,cow,Hungary,,Cheddar,soft,38.20%,792.9 mg/100g,"creamy, open",washed,yellow,piquant,"aromatic, stinky, strong",FALSE,FALSE,,,
Lake District Extra Mature Cheddar,https://www.cheese.com/lake-district-extra-mature-cheddar/,cow,United Kingdom,Cumbrian,Cheddar,"semi-soft, artisan",38.30%,737.9 mg/100g,creamy,,pale yellow,sweet,rich,TRUE,FALSE,,,The Lake District Cheese Company
Lake District Mature Cheddar,https://www.cheese.com/lake-district-mature-cheddar/,cow,United Kingdom,Cumbrian,Cheddar,"soft, artisan",39.30%,782.4 mg/100g,"crumbly, dense",,pale yellow,"savory, sweet",fresh,TRUE,FALSE,,,The Lake District Cheese Company
Lancashire Smoked,https://www.cheese.com/lancashire-smoked/,cow,England,,Cheddar,hard,36.90%,718.8 mg/100g,"buttery, crumbly",natural,red,"acidic, nutty, smokey , tangy, woody","buttery, fresh, grassy, smokey",FALSE,FALSE,,,Mrs. Kirkham's
Landaff,https://www.cheese.com/landaff/,cow,United States,New Hampshire,Cheddar,"semi-hard, artisan",36.00%,728.4 mg/100g,"creamy, firm, open",natural,straw,"mild, tangy",aromatic,,,,,"Jasper Hill Farm, Landaff Creamery, LLC"
Latteria Navel,https://www.cheese.com/latteria-navel/,cow,Italy,Friuli-Venezia Giulia and the Veneto,Cheddar,"hard, soft-ripened",35.90%,781.8 mg/100g,brittle,natural,straw,full-flavored,aromatic,,,,,
Laura Chenel Tome,https://www.cheese.com/laura-chenel-tome/,goat,United States,"Sonoma, California",Cheddar,"firm, artisan",35.50%,725.8 mg/100g,"crumbly, dense, firm",cloth wrapped,ivory,"caramel, savory","rich, sweet",TRUE,FALSE,,,Laura Chenel's Chevre
Lavistown,https://www.cheese.com/lavistown/,cow,Ireland,Stoneyford,Cheddar,"semi-hard, artisan",38.30%,708.8 mg/100g,"crumbly, dry, firm",natural,yellow,"creamy, mild, milky, tangy, vegetal",,TRUE,FALSE,,,Knockdrinna Farmhouse Cheese
Le Conquerant Camembert,https://www.cheese.com/le-conquerant-camembert/,cow,France,"Pays d’Auge, Normandy",Cheddar,"soft, artisan",35.40%,795.1 mg/100g,soft-ripened,waxed,white,"fruity, yeasty",rich,FALSE,FALSE,,,
Le Fium Orbo,https://www.cheese.com/le-fium-orbo/,"goat, sheep",France,,Cheddar,soft,36.50%,717.0 mg/100g,soft-ripened,natural,,,,FALSE,FALSE,,,
Le Gruyère AOP,https://www.cheese.com/le-gruyere-aop/,cow,Switzerland,,Cheddar,hard,39.20%,775.8 mg/100g,compact,,,sweet,earthy,FALSE,FALSE,,,
Le Marquis Chevre,https://www.cheese.com/le-marquis-chevre/,goat,France,Rhone Valley,Cheddar,"soft, artisan",37.40%,780.2 mg/100g,soft,natural,ivory,"lemony, tangy",mild,,,,,Cheese Slices
Le Maréchal,https://www.cheese.com/le-marechal/,cow,Switzerland,,Cheddar,hard,39.30%,789.3 mg/100g,"firm, smooth",natural,yellow,"buttery, creamy, floral, herbaceous","buttery, floral, grassy, herbal",FALSE,FALSE,Marechal,,Jean-Michel Rapin
Le Moutier,https://www.cheese.com/le-moutier/,goat,Canada,Québec,Cheddar,fresh firm,38.10%,708.2 mg/100g,firm,natural,white,sweet,,,,,,Fromagerie de l'Abbaye Saint-Benoît
Le St-Raymond,https://www.cheese.com/le-st-raymond/,,Canada,Quebec,Cheddar,soft,36.30%,709.2 mg/100g,"smooth, supple",washed,ivory,"fruity, nutty, woody",,,,,Le Saint-Raymond,La Maison Alexis de Portneuf Inc.
Liburnski Sir,https://www.cheese.com/liburnski-sir/,"cow, goat, sheep",Croatia,old Liburnia (Dalmatia),Cheddar,"hard, artisan",38.90%,729.8 mg/100g,"creamy, open",natural,golden yellow,"creamy, earthy, nutty, tart","buttery, clean, goaty, mild",TRUE,FALSE,,,SIRANA GLIGORA D.O.O
Liliputas,https://www.cheese.com/liliputas/,cow,Lithuania,Belvederis,Cheddar,semi-hard,38.10%,779.2 mg/100g,"elastic, firm",waxed,yellow,milky,"fresh, lactic",,,,,
Lincolnshire Poacher,https://www.cheese.com/lincolnshire-poacher/,cow,England,,Cheddar,hard,39.70%,769.1 mg/100g,creamy,,yellow,"nutty, sweet",earthy,,,,,F.W.Read & Sons Ltd
Lingot Saint Bousquet d'Orb,https://www.cheese.com/lingot-saint-bousquet-dorb/,goat,France,Herault,Cheddar,"soft, artisan",39.70%,704.7 mg/100g,smooth,natural,white,sweet,herbal,FALSE,FALSE,,,
Liptauer,https://www.cheese.com/liptauer/,cow,United States,"Ann Arbor, Michigan",Cheddar,"fresh soft, artisan",36.10%,775.2 mg/100g,,rindless,brown,"garlicky, savory, spicy, sweet","garlicky, spicy",TRUE,FALSE,,,Zingerman's Creamery
Little Colonel,https://www.cheese.com/little-colonel/,cow,"England, Great Britain, United Kingdom",Dorset,Cheddar,"semi-soft, artisan",35.90%,794.1 mg/100g,"smooth, supple",washed,pale yellow,spicy,pungent,TRUE,FALSE,,,James’s Cheese
Little Napoleon,https://www.cheese.com/little-napoleon/,goat,United States,"Ann Arbor, Michigan",Cheddar,"hard, artisan",38.70%,700.8 mg/100g,firm,mold ripened,pale yellow,"acidic, savory","goaty, pungent",FALSE,FALSE,,,Zingerman's Creamery
Llanboidy,https://www.cheese.com/llanboidy/,cow,Wales,Carmarthenshire,Cheddar,"hard, artisan",39.20%,731.1 mg/100g,"firm, smooth",natural,white,"buttery, spicy","grassy, sweet",FALSE,FALSE,,,Llanboidy
Llanglofan Farmhouse,https://www.cheese.com/llanglofan-farmhouse/,cow,"Great Britain, United Kingdom, Wales",Pembrokeshire,Cheddar,"hard, artisan",38.80%,728.5 mg/100g,"crumbly, firm, smooth",natural,yellow,"citrusy, savory, smokey , spicy","lactic, smokey",TRUE,FALSE,,"Llangloffan White Farmhouse Cheese, Llangloffan Red Farmhouse Cheese, Llangloffan Smoked Farmhouse Cheese, Llangloffan Garlic & Chive Farmhouse Cheese",CARMARTHENSHIRE CHEESE COMPANY
Loch Arthur Farmhouse,https://www.cheese.com/loch-arthur-farmhouse/,cow,Scotland,Dumfries,Cheddar,hard,37.80%,717.0 mg/100g,firm,,,nutty,,TRUE,FALSE,,,Loch Arthur Creamery
Loddiswell Avondale,https://www.cheese.com/loddiswell-avondale/,goat,England,Devon,Cheddar,semi-soft,35.90%,726.4 mg/100g,,washed,orange,sweet,goaty,FALSE,FALSE,,,Jocelyn and Bill Martin
Longhorn,https://www.cheese.com/longhorn/,cow,United States,"Colby, Wisconsin",Cheddar,semi-hard,36.90%,742.2 mg/100g,"firm, open, springy",rindless,orange,"mild, sweet",,FALSE,FALSE,,"Colby Longhorn, Longhorn Cheddar, Colby Jack Longhorn, Pepper Jack Longhorn, Low Sodium Colby Longhorn",Williams Cheese Company
Lou Palou,https://www.cheese.com/lou-palou/,cow,France,Pyrénées,Cheddar,semi-soft,37.70%,749.8 mg/100g,"elastic, smooth",,,,pleasant,FALSE,FALSE,,,
Lunetta,https://www.cheese.com/lunetta/,cow,"Canada, Italy",Lombardy,Cheddar,"fresh soft, artisan",35.50%,770.0 mg/100g,creamy,natural,white,"creamy, salty","aromatic, fresh",,,,,Fifth Town Artisan Cheese
Lyburn Garlic and Nettle,https://www.cheese.com/lyburn-garlic-and-nettle/,cow,"England, Great Britain, United Kingdom",Landford,Cheddar,"semi-soft, artisan",35.00%,742.9 mg/100g,"creamy, open, smooth",washed,pale yellow,"garlicky, herbaceous, pronounced, spicy, strong","aromatic, rich, strong",TRUE,FALSE,,,Lyburn Farm
Lyburn Lightly Oak Smoked,https://www.cheese.com/lyburn-lightly-oak-smoked/,cow,"England, Great Britain, United Kingdom",Landford,Cheddar,"semi-hard, artisan",36.80%,762.2 mg/100g,smooth,washed,pale yellow,"smokey , smooth, subtle",smokey,TRUE,FALSE,,,Lyburn Farm
