cheese,milk,country,family,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
Le St-Raymond,cow,Canada,Cheddar,soft,High,"smooth, supple",washed,ivory,"fruity, nutty, woody",fresh,TRUE,FALSE
Liburnski Sir,"cow, goat, sheep",Croatia,Cheddar,"hard, artisan",High,"creamy, open",natural,golden yellow,"creamy, earthy, nutty, tart","buttery, clean, goaty, mild",TRUE,FALSE
Liliputas,cow,Lithuania,Cheddar,semi-hard,High,"elastic, firm",waxed,yellow,milky,"fresh, lactic",FALSE,FALSE
Lincolnshire Poacher,cow,England,Cheddar,hard,High,creamy,rindless,yellow,"nutty, sweet",earthy,TRUE,FALSE
Lingot Saint Bousquet d'Orb,goat,France,Cheddar,"soft, artisan",High,smooth,natural,white,sweet,herbal,FALSE,FALSE
Liptauer,cow,United States,Cheddar,"fresh soft, artisan",High,"brittle, crumbly, dense, flaky",rindless,brown,"garlicky, savory, spicy, sweet","garlicky, spicy",TRUE,FALSE
Little Colonel,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-soft, artisan",High,"smooth, supple",washed,pale yellow,spicy,pungent,TRUE,FALSE
Little Napoleon,goat,United States,Cheddar,"hard, artisan",High,firm,mold ripened,pale yellow,"acidic, savory","goaty, pungent",FALSE,FALSE
Llanboidy,cow,Wales,Cheddar,"hard, artisan",High,"firm, smooth",natural,white,"buttery, spicy","grassy, sweet",FALSE,FALSE
Llanglofan Farmhouse,cow,"Great Britain, United Kingdom, Wales",Cheddar,"hard, artisan",High,"crumbly, firm, smooth",natural,yellow,"citrusy, savory, smokey , spicy","lactic, smokey",TRUE,FALSE
Loch Arthur Farmhouse,cow,Scotland,Cheddar,hard,High,firm,natural,pale yellow,nutty,clean,TRUE,FALSE
Loddiswell Avondale,goat,England,Cheddar,semi-soft,High,"creamy, elastic, smooth, soft, stringy, supple",washed,orange,sweet,goaty,FALSE,FALSE
Longhorn,cow,United States,Cheddar,semi-hard,High,"firm, open, springy",rindless,orange,"mild, sweet",mushroom,FALSE,FALSE
Lou Palou,cow,France,Cheddar,semi-soft,High,"elastic, smooth",washed,pale yellow,"nutty, strong",pleasant,FALSE,FALSE
Lunetta,cow,"Canada, Italy",Cheddar,"fresh soft, artisan",High,creamy,natural,white,"creamy, salty","aromatic, fresh",TRUE,FALSE
Lyburn Garlic and Nettle,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-soft, artisan",High,"creamy, open, smooth",washed,pale yellow,"garlicky, herbaceous, pronounced, spicy, strong","aromatic, rich, strong",TRUE,FALSE
Lyburn Lightly Oak Smoked,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-hard, artisan",High,smooth,washed,pale yellow,"smokey , smooth, subtle",smokey,TRUE,FALSE
Macadamia Nut Cheese,goat,United States,Cheddar,"firm, artisan",High,"firm, spreadable",natural,brown,"creamy, nutty, sweet",nutty,TRUE,FALSE
Maffra Aged Rinded Cheddar,cow,Australia,Cheddar,"hard, artisan",High,"buttery, crumbly, firm",cloth wrapped,straw,"earthy, meaty, sweet",grassy,FALSE,FALSE
Maffra Cheshire,cow,Australia,Cheddar,"hard, artisan",High,crumbly,natural,pale yellow,"mellow, salty, sharp, tart","buttery, mild",TRUE,FALSE
Maffra Dargo Walnut,cow,Australia,Cheddar,"semi-hard, artisan",High,"crumbly, dense, firm, flaky",natural,golden yellow,"mild, nutty, sweet","nutty, sweet",FALSE,FALSE
Maffra Mature Cheddar,cow,Australia,Cheddar,"hard, artisan",High,"creamy, crumbly, firm, smooth",waxed,yellow,"acidic, salty, smooth",rich,TRUE,FALSE
Maffra Peppercorn Cheddar,cow,Australia,Cheddar,"semi-hard, artisan",High,"creamy, firm",natural,yellow,"creamy, spicy",spicy,TRUE,FALSE
Maffra Sage Derby,cow,Australia,Cheddar,"semi-hard, artisan",High,"firm, smooth",rindless,pale yellow,"creamy, herbaceous, smooth","herbal, sweet",TRUE,FALSE
Maffra Wensleydale,cow,Australia,Cheddar,"hard, artisan",High,crumbly,natural,pale yellow,"creamy, lemony",fresh,FALSE,FALSE
Mahón,cow,Spain,Cheddar,"semi-hard, artisan",High,"crumbly, dense",washed,pale yellow,"buttery, salty","nutty, sweet",FALSE,FALSE
Maida Vale,cow,England,Cheddar,semi-soft,High,"buttery, soft, supple",washed,pink and white,"grassy, meaty, nutty, savory, umami, vegetal","barnyardy, earthy, grassy, stinky, yeasty",TRUE,FALSE
Maisie's Kebbuck,cow,"Great Britain, Scotland, United Kingdom",Cheddar,"semi-hard, artisan",High,"creamy, crumbly",natural,white,"acidic, herbaceous",fresh,TRUE,FALSE
Mamirolle,cow,"Canada, France",Cheddar,"semi-soft, artisan",High,"chewy, supple",washed,ivory,"buttery, fruity, salty, sweet","earthy, pungent",FALSE,FALSE
Mandolin,cow,Australia,Cheddar,"semi-hard, artisan, smear-ripened",High,"crumbly, soft, supple",leaf wrapped,pale yellow,"creamy, grassy, smooth","grassy, herbal",TRUE,FALSE
Mango Rebel,cow,Austria,Cheddar,"semi-hard, artisan",High,"creamy, firm",natural,pale yellow,"fruity, spicy","fresh, fruity",FALSE,FALSE
Manon,goat,Australia,Cheddar,"fresh soft, artisan",High,"creamy, smooth",leaf wrapped,white,"creamy, garlicky, spicy, strong","aromatic, garlicky, spicy, strong",TRUE,FALSE
Manur,"cow, sheep",Serbia,Cheddar,"hard, artisan",High,creamy,natural,cream,salty,goaty,FALSE,FALSE
Marble Cheddar,cow,United Kingdom,Cheddar,"hard, processed",High,"firm, smooth",rindless,white,creamy,rich,TRUE,FALSE
Marco Polo,cow,United States,Cheddar,"hard, artisan",High,"creamy, crumbly",cloth wrapped,ivory,creamy,"clean, rich",FALSE,FALSE
Maribo,cow,Denmark,Cheddar,"semi-hard, artisan",High,"creamy, firm, open",waxed,pale yellow,tangy,strong,FALSE,FALSE
Martha's Heat,cow,Australia,Cheddar,"hard, artisan",High,"firm, grainy, open",natural,brownish yellow,"smokey , spicy","smokey, spicy",TRUE,FALSE
Mascarpone,cow,Italy,Cheddar,fresh soft,High,"buttery, creamy, smooth, spreadable",rindless,white,"buttery, creamy, mild",fresh,FALSE,FALSE
Mature Wensleydale,cow,"England, United Kingdom",Cheddar,"hard, artisan",High,crumbly,cloth wrapped,pale yellow,strong,"rich, ripe",FALSE,FALSE
Melville,goat,United States,Cheddar,"fresh soft, artisan, soft-ripened",High,"elastic, oily, soft, supple",natural,white,"acidic, buttery, mild, sweet, tart",fresh,FALSE,FALSE
Menallack Farmhouse,cow,England,Cheddar,hard,High,"runny, smooth",natural,ivory,"sour, tangy","buttery, fresh",TRUE,FALSE
Menonita,cow,Mexico,Cheddar,semi-soft,High,firm,natural,pale yellow,"buttery, mild",strong,FALSE,FALSE
Merry Wyfe,cow,United Kingdom,Cheddar,semi-hard,High,"creamy, springy",washed,orange,"earthy, mushroomy",aromatic,TRUE,FALSE
Mersey Valley Original Vintage,cow,Australia,Cheddar,hard,High,"creamy, crumbly, spreadable",natural,yellow,"buttery, full-flavored, sharp",strong,TRUE,FALSE
Mettowee,goat,United States,Cheddar,"fresh soft, artisan",High,"creamy, smooth",natural,white,"acidic, creamy, tangy, tart","clean, fresh, subtle",TRUE,FALSE
MezzaLuna Fontina,cow,United States,Cheddar,semi-hard,High,creamy,washed,yellow,"earthy, mild, mushroomy, yeasty",rich,FALSE,FALSE
Mi-Ewe,"cow, sheep",United States,Cheddar,"semi-hard, artisan",High,crumbly,natural,pale yellow,"buttery, citrusy, nutty, sharp","caramel, rich",TRUE,FALSE
Mimolette (Boule de Lille),cow,France,Cheddar,semi-hard,High,firm,natural,orange,"bitter, buttery, sweet","fresh, mild, milky, pleasant",FALSE,FALSE
Minas cheese,cow,Brazil,Cheddar,"semi-soft, artisan",High,"grainy, open, soft, springy",rindless,white,"bitter, mild, salty, strong",aromatic,FALSE,FALSE
Mladi Trapist,cow,Croatia,Cheddar,"semi-hard, artisan",High,"crumbly, semi firm",natural,white,"grassy, savory",aromatic,TRUE,FALSE
Molbo,cow,Denmark,Cheddar,"semi-hard, artisan",High,firm,waxed,pale yellow,"salty, tangy",fresh,FALSE,FALSE
Montasio,cow,Italy,Cheddar,semi-firm,High,creamy,natural,yellow,"mild, smooth","aromatic, pleasant",FALSE,FALSE
Monteo,cow,Italy,Cheddar,"semi-firm, artisan",High,"creamy, open",natural,pale yellow,"buttery, milky, smooth","fresh, milky",FALSE,FALSE
Montgomery's Cheddar,cow,United Kingdom,Cheddar,"hard, artisan",High,creamy,natural,yellow,full-flavored,rich,FALSE,FALSE
Morgan,cow,United States,Cheddar,"hard, artisan",High,firm,natural,ivory,"citrusy, salty",grassy,FALSE,FALSE
Morimoto Soba Ale Cheddar,cow,United States,Cheddar,"semi-hard, artisan",High,"creamy, crumbly",natural,pale yellow,"buttery, smooth, strong","strong, toasty",TRUE,FALSE
Mossfield Organic,cow,Ireland,Cheddar,"hard, semi-hard, artisan",High,"crumbly, dry, flaky",natural,brownish yellow,"nutty, tangy","fresh, lactic, mild",TRUE,FALSE
Mountain Goat,goat,Australia,Cheddar,"hard, artisan",High,firm,natural,ivory,"creamy, sharp",subtle,TRUE,FALSE
Mountain Herbs Rebel,cow,Austria,Cheddar,"semi-hard, artisan",High,"creamy, smooth",natural,pale yellow,"creamy, nutty, spicy","aromatic, grassy, sweet",TRUE,FALSE
Mountain Rebel,cow,Austria,Cheddar,"semi-hard, artisan",High,"compact, creamy",natural,yellow,"creamy, fruity","aromatic, spicy",TRUE,FALSE
Mountaineer,cow,United States,Cheddar,"semi-soft, artisan",High,"dense, supple",washed,yellow,"full-flavored, mellow","caramel, fruity, rich",FALSE,FALSE
Mouse House Garlic & Chive Cheddar,cow,England,Cheddar,semi-hard,High,creamy,waxed,green,garlicky,garlicky,TRUE,FALSE
Mouse House Smoked Cheddar,cow,England,Cheddar,semi-hard,High,creamy,waxed,golden yellow,smokey,smokey,TRUE,FALSE
Ms. Natural,goat,United States,Cheddar,fresh soft,High,"creamy, crumbly, smooth, spreadable",rindless,white,"citrusy, creamy","fresh, mild",TRUE,FALSE
Mt Scott,cow,New Zealand,Cheddar,semi-soft,High,"smooth, supple",natural,yellow,"buttery, sharp, sweet",aromatic,TRUE,FALSE
Mt. Mazama Cheddar,"cow, goat",United States,Cheddar,semi-hard,High,"creamy, crumbly, crystalline, dense",natural,pale yellow,"acidic, caramel, nutty, sweet, tangy","pleasant, rich",TRUE,FALSE
Muddlewell,"cow, sheep",England,Cheddar,"hard, artisan",High,"creamy, crumbly",natural,ivory,mild,strong,TRUE,FALSE
Munster,cow,France,Cheddar,soft,High,smooth,washed,cream,"savory, spicy, sweet",aromatic,FALSE,FALSE
Pacific Rock,cow,Canada,Cheddar,hard,High,"crumbly, firm",washed,orange,"buttery, earthy, nutty, subtle","fruity, rich",TRUE,FALSE
Paesanella Buffalo Ricotta,buffalo,Australia,Cheddar,"fresh soft, whey",High,"creamy, soft",rindless,white,creamy,"milky, sweet",FALSE,FALSE
Paesanella Dry Ricotta,cow,Australia,Cheddar,"soft, whey",High,firm,natural,white,"creamy, salty",sweet,FALSE,FALSE
Paesanella Fresco,cow,Australia,Cheddar,"semi-hard, artisan",High,"chewy, firm",rindless,pale yellow,"mild, tangy",mild,TRUE,FALSE
Paesanella Fresh Ricotta,cow,Australia,Cheddar,fresh soft,High,firm,rindless,white,creamy,"fresh, sweet",FALSE,FALSE
Pant ys Gawn,goat,Wales,Cheddar,fresh soft,High,creamy,rindless,white,"lemony, salty",fresh,TRUE,FALSE
Paprika Rebel,cow,Austria,Cheddar,"semi-hard, artisan",High,creamy,natural,pale yellow,"smokey , spicy","smokey, spicy",TRUE,FALSE
Pas de l'Escalette,cow,France,Cheddar,"semi-hard, artisan",High,creamy,natural,straw,sweet,fresh,FALSE,FALSE
Pate de Fromage,"goat, sheep",France,Cheddar,soft,High,soft,natural,ivory,"bitter, buttery, mild, milky, salty",lactic,FALSE,FALSE
Patefine Fort,cow,France,Cheddar,"soft, artisan",High,smooth,natural,white,sour,fresh,FALSE,FALSE
Peau Rouge,cow,Canada,Cheddar,hard,High,"crumbly, firm",washed,pale yellow,"caramel, nutty, woody",strong,FALSE,FALSE
Pembrokeshire Extra Mature Cheddar,cow,United Kingdom,Cheddar,"semi-soft, artisan",High,"crumbly, dense",washed,yellow,"strong, tangy",rich,FALSE,FALSE
Pepper Rebel,cow,Austria,Cheddar,"semi-hard, artisan",High,creamy,natural,yellow,"creamy, spicy","grassy, spicy, sweet",FALSE,FALSE
Perl Wen,cow,"United Kingdom, Wales",Cheddar,semi-soft,High,"creamy, smooth, soft",bloomy,white,citrusy,"nutty, strong",TRUE,FALSE
Petit Blaja,goat,France,Cheddar,soft,High,soft,natural,golden yellow,creamy,"aromatic, floral, fruity",TRUE,FALSE
Petit Pardou,cow,France,Cheddar,semi-hard,High,creamy,natural,straw,"buttery, mushroomy, nutty, pronounced",aromatic,FALSE,FALSE
Petite Swiss,cow,United States,Cheddar,semi-hard,High,compact,natural,pale yellow,"mild, nutty, sweet","fresh, fruity",TRUE,FALSE
Picodon de Chevre,goat,France,Cheddar,"soft, artisan",High,"firm, smooth",natural,white,"sour, sweet","goaty, pungent",TRUE,FALSE
Pinconning,cow,United States,Cheddar,semi-hard,High,"creamy, open",natural,yellow,"mild, sharp",aromatic,FALSE,FALSE
Piora,cow,Switzerland,Cheddar,hard,High,"creamy, soft",rindless,white,"creamy, mild","aromatic, rich",FALSE,FALSE
Pistol Point Cheddar,cow,United States,Cheddar,"semi-hard, artisan",High,"creamy, crumbly",natural,pale yellow,"smokey , spicy",earthy,TRUE,FALSE
Pitchfork Cheddar,cow,England,Cheddar,hard,High,"compact, creamy, firm",cloth wrapped,pale yellow,"acidic, fruity, grassy, nutty, tangy","buttery, fruity, grassy, nutty, subtle",FALSE,FALSE
Plymouth Cheese,cow,United States,Cheddar,"hard, artisan",High,"firm, flaky, grainy",waxed,yellow,"buttery, fruity, full-flavored, nutty, smokey , spicy, tangy","rich, smokey, strong",FALSE,FALSE
Poivre d'Ane,"cow, goat",France,Cheddar,"soft, artisan",High,smooth,natural,white,herbaceous,herbal,TRUE,FALSE
Pokolbin,cow,Australia,Cheddar,"semi-soft, smear-ripened",High,"elastic, stringy",washed,pale yellow,"sharp, spicy","aromatic, fresh",FALSE,FALSE
Pong's Extraordinary... Cheddar,cow,United Kingdom,Cheddar,"hard, semi-hard",High,"creamy, crumbly",natural,yellow,full-flavored,"rich, smokey, strong",FALSE,FALSE
Port-Salut,cow,France,Cheddar,semi-soft,High,"creamy, smooth",washed,pale yellow,"acidic, mellow",mild,FALSE,FALSE
Postel,cow,Belgium,Cheddar,semi-hard,High,"creamy, runny, smooth, soft",washed,white,"savory, sharp",sweet,FALSE,FALSE
Prairie Breeze Cheddar,cow,United States,Cheddar,"hard, artisan",High,"creamy, crumbly, grainy",natural,yellow,"nutty, sharp, sweet","grassy, mild",TRUE,FALSE
Prastost,cow,Sweden,Cheddar,semi-soft,High,creamy,rindless,yellow,"salty, spicy, strong","aromatic, rich",FALSE,FALSE
President Madrigal,cow,France,Cheddar,"semi-hard, artisan",High,"smooth, soft",natural,straw,"nutty, sweet",grassy,FALSE,FALSE
Prince-Jean,cow,Belgium,Cheddar,"fresh soft, artisan",High,creamy,natural,white,buttery,"fresh, rich",FALSE,FALSE
Promontory,cow,United States,Cheddar,"hard, artisan",High,"creamy, firm",natural,pale yellow,"buttery, citrusy","fruity, rich",TRUE,FALSE
Provolone,cow,Italy,Cheddar,"semi-hard, artisan",High,firm,rindless,pale yellow,tangy,pleasant,TRUE,FALSE
PsycheDillic,goat,United States,Cheddar,fresh soft,High,"creamy, smooth, spreadable",rindless,white,"creamy, full-flavored, herbaceous",aromatic,TRUE,FALSE
Purple Haze,goat,United States,Cheddar,fresh soft,High,"creamy, crumbly, smooth, spreadable",rindless,white,"earthy, herbaceous",aromatic,TRUE,FALSE
Purple's a Must,"cow, goat","Canada, Italy",Cheddar,"semi-hard, artisan, blue-veined",High,"creamy, crumbly",mold ripened,pale yellow,"full-flavored, strong",rich,FALSE,FALSE
Pyengana Cheddar,cow,Australia,Cheddar,"hard, semi-hard, artisan",High,"creamy, crumbly, smooth",natural,pale yellow,"acidic, full-flavored, herbaceous, savory, spicy","grassy, herbal",FALSE,FALSE
Saaland Pfarr,cow,Sweden,Cheddar,semi-soft,High,creamy,rindless,yellow,"salty, spicy, strong","aromatic, rich",FALSE,FALSE
Sage Derby,cow,"England, United Kingdom",Cheddar,"semi-hard, artisan",High,firm,leaf wrapped,green,"herbaceous, mild",herbal,TRUE,FALSE
Salers,cow,France,Cheddar,semi-hard,High,"creamy, semi firm, soft",rindless,red,"fruity, spicy",earthy,FALSE,FALSE
Salsa Asiago,cow,United States,Cheddar,"hard, artisan",High,"compact, firm, open, smooth",natural,pale yellow,"creamy, garlicky, nutty, sharp, spicy","aromatic, nutty, pungent",TRUE,FALSE
Samso,cow,Denmark,Cheddar,semi-hard,High,supple,waxed,yellow,"nutty, sour, sweet","clean, fresh",FALSE,FALSE
Sap Sago,cow,Switzerland,Cheddar,hard,High,dry,natural,green,"salty, sharp, sour, strong",herbal,TRUE,FALSE
Sartori Limited Edition Cannella BellaVitano,cow,United States,Cheddar,hard,High,creamy,rindless,pale yellow,"buttery, fruity, mild, sweet","fresh, rich",TRUE,FALSE
Sartori Limited Edition Cognac BellaVitano,cow,United States,Cheddar,hard,High,creamy,natural,white,"buttery, mild, smokey , sweet","nutty, smokey",TRUE,FALSE
Sartori Limited Edition Extra-Aged Goat,goat,United States,Cheddar,"semi-firm, artisan",High,creamy,plastic,white,"mild, savory","mild, pleasant",FALSE,FALSE
Sartori Limited Edition Pastorale Blend,"cow, sheep",United States,Cheddar,"semi-hard, artisan",High,creamy,natural,pale yellow,"nutty, sweet","earthy, nutty, sweet",TRUE,FALSE
Sartori Reserve Balsamic BellaVitano,cow,United States,Cheddar,hard,High,firm,bloomy,white,"fruity, nutty, sweet, tangy","earthy, fruity, sweet",TRUE,FALSE
Sartori Reserve Basil & Olive Oil Asiago,cow,United States,Cheddar,"hard, artisan",High,"creamy, smooth",natural,pale yellow,"herbaceous, savory, sweet","herbal, rich",FALSE,FALSE
Sartori Reserve BellaVitano Gold,cow,United States,Cheddar,hard,High,creamy,natural,pale yellow,"fruity, nutty, sweet","fruity, nutty, rich",TRUE,FALSE
Sartori Reserve Black Pepper BellaVitano,cow,United States,Cheddar,semi-hard,High,creamy,natural,pale yellow,"creamy, nutty, salty, spicy","nutty, rich, spicy",FALSE,FALSE
Sartori Reserve Espresso BellaVitano,cow,United States,Cheddar,"semi-firm, artisan",High,firm,natural,pale yellow,"smokey , sweet","smokey, sweet",TRUE,FALSE
Sartori Reserve Extra Aged Fontina,cow,United States,Cheddar,"hard, artisan",High,creamy,natural,yellow,"buttery, fruity, mild, tangy","lactic, rich",TRUE,FALSE
Sartori Reserve Extra-Aged Asiago,cow,United States,Cheddar,"hard, artisan",High,"creamy, crumbly",mold ripened,pale yellow,"creamy, nutty",rich,FALSE,FALSE
Sartori Reserve Merlot BellaVitano,cow,United States,Cheddar,"semi-hard, artisan",High,"creamy, crystalline",natural,pale yellow,"creamy, fruity","fruity, pleasant, rich",FALSE,FALSE
Sartori Reserve Raspberry BellaVitano,cow,United States,Cheddar,"hard, artisan",High,creamy,natural,pale yellow,"buttery, creamy, fruity, nutty, sweet","fruity, nutty, rich",TRUE,FALSE
Sartori Reserve Rosemary & Olive Oil Asiago,cow,United States,Cheddar,"hard, artisan",High,"creamy, smooth",rindless,pale yellow,"fruity, nutty","fruity, nutty, rich",TRUE,FALSE
Sbrinz,cow,Switzerland,Cheddar,"hard, artisan",High,"dense, flaky",natural,yellow,"butterscotch, full-flavored, nutty, spicy, strong","aromatic, spicy",FALSE,FALSE
Scotch Bonnet Cheddar,cow,United Kingdom,Cheddar,"hard, processed",High,creamy,plastic,pale yellow,"creamy, spicy, strong",fresh,FALSE,FALSE
Seahive,cow,United States,Cheddar,"hard, artisan",High,"dry, firm",natural,pale yellow,"salty, sweet",floral,TRUE,FALSE
Seascape,"cow, goat",United States,Cheddar,"semi-hard, artisan",High,"crumbly, smooth",natural,pale yellow,"buttery, caramel, tangy",pleasant,TRUE,FALSE
Seriously Strong Cheddar,cow,"England, Scotland, United Kingdom",Cheddar,hard,High,"crumbly, dense, firm, flaky",natural,yellow,"full-flavored, savory, smokey , spicy, tangy","rich, smokey, strong",FALSE,FALSE
Sharon Hollow Garlic and Chive,cow,United States,Cheddar,"fresh soft, artisan",High,flaky,rindless,ivory,"garlicky, milky","fresh, garlicky",TRUE,FALSE
Sharp Cheddar,cow,United States,Cheddar,"semi-hard, artisan",High,creamy,natural,white,"sharp, strong, tangy","goaty, grassy, herbal",FALSE,FALSE
Sharpham Rustic,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-hard, artisan",High,creamy,natural,white,"lemony, nutty",fresh,TRUE,FALSE
Sharpham Rustic Chive & Garlic,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-hard, artisan",High,creamy,natural,white,"creamy, garlicky, savory","garlicky, nutty, strong",TRUE,FALSE
Shelburne Cheddar,cow,United States,Cheddar,"hard, artisan",High,firm,rindless,pale yellow,strong,rich,TRUE,FALSE
Ships Wheel Brie,cow,Australia,Cheddar,artisan,High,creamy,bloomy,white,"mild, nutty","mild, nutty",TRUE,FALSE
Shorrock's Lancashire Bomb,cow,United Kingdom,Cheddar,semi-hard,High,"creamy, crumbly",bloomy,yellow,"creamy, savory, sharp, spicy",goaty,TRUE,FALSE
